ALLSKY_SFC_SW_DWN (Wh/m^2),Solar Zenith Angle (Degrees) ,Solar Zenith Angle (Degrees) REMOVED IF >85º,optimiced_moving_solar_ALLSKY_SFC_SW_DWN (Wh/m^2)
0,0,0,0
0,0,0,0
0,0,0,0
17.09,85.73,0,0
48.19,78.84,78.84,248.9802761
85.6,73.6,73.6,303.1789981
91.98,70.44,70.44,274.736264
109.57,69.66,69.66,315.2274052
115.65,71.38,71.38,362.2097632
87.7,75.4,75.4,347.9201146
47.23,81.33,81.33,313.3142461
10.83,88.26,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
25.98,85.55,0,0
67.14,78.65,78.65,341.1553864
108.95,73.38,73.38,380.9135993
115.07,70.2,70.2,339.7021506
130.34,69.42,69.42,370.7951134
70.3,71.12,71.12,217.2521359
54.08,75.14,75.14,210.8726757
20.53,81.09,81.09,132.551826
9.71,88.1,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
21.95,85.34,0,0
82.87,78.44,78.44,413.5353361
136.26,73.16,73.16,470.3485366
130.99,69.95,69.95,382.0732152
61.61,69.16,69.16,173.1787872
54.17,70.87,70.87,165.2972615
46.77,74.89,74.89,179.4201852
42.87,80.84,80.84,269.2974561
13.04,87.93,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
55.91,85.13,0,0
152.62,78.23,78.23,748.1978073
247.2,72.92,72.92,841.656057
300.19,69.7,69.7,865.2613205
292.66,68.91,68.91,813.3195394
208.66,70.61,70.61,628.5005952
123.23,74.63,74.63,464.9288964
76.85,80.59,80.59,470.0359021
17.35,87.76,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
